fgbg,fg,bg
5B169D13,5B16,9D13
5B16FA13,5B16,FA13
6C69038C,6C69,038C
5B16D21A,5B16,D21A
B3D4DB34,B3D4,DB34
F134BDE2,F134,BDE2
B2D7DB34,B2D7,DB34
36AEBDE2,36AE,BDE2
DB349123,DB34,9123
BDE2D21A,BDE2,D21A
DB34F77D,DB34,F77D
BDE2B3E1,BDE2,B3E1
842725B0,8427,25B0
3F8FFCDD,3F8F,FCDD
4159FCDD,4159,FCDD
FCDDFA13,FCDD,FA13
FCDDB5D9,FCDD,B5D9
FCDD929A,FCDD,929A
FCDD6568,FCDD,6568
677325B0,6773,25B0
C0827524,C082,7524
0E7925B0,0E79,25B0
4ED825B0,4ED8,25B0
405A7524,405A,7524
25B02E58,25B0,2E58
7524D0E4,7524,D0E4
7524F621,7524,F621
B41D96A5,B41D,96A5
216696A5,2166,96A5
A5A9FC2C,A5A9,FC2C
2F5EFC2C,2F5E,FC2C
795DFC2C,795D,FC2C
EC2AFC2C,EC2A,FC2C
5C8AFC2C,5C8A,FC2C
7B3BFC2C,7B3B,FC2C
617BFC2C,617B,FC2C
77B0FC2C,77B0,FC2C
8276FC2C,8276,FC2C
2CF0A510,2CF0,A510
B640A510,B640,A510
53CEA510,53CE,A510
33E1A510,33E1,A510
A510766A,A510,766A
A510DBFC,A510,DBFC
A510769D,A510,769D
D3EB88A7,D3EB,88A7
88A7825E,88A7,825E
88A70126,88A7,0126
A5425B44,A542,5B44
540B5B44,540B,5B44
5B4469F1,5B44,69F1
5B443F87,5B44,3F87
5B445A95,5B44,5A95
5B44298E,5B44,298E
5B448EB7,5B44,8EB7
5B441836,5B44,1836
5B443AB1,5B44,3AB1
5B4486ED,5B44,86ED
5B443F40,5B44,3F40
5B44B4DA,5B44,B4DA
696069F1,6960,69F1
69F109C0,69F1,09C0
CB723F87,CB72,3F87
3F871FB2,3F87,1FB2
02205A95,0220,5A95
7023298E,7023,298E
E8B28EB7,E8B2,8EB7
8EB7CCE7,8EB7,CCE7
8EB7121A,8EB7,121A
33E1766A,33E1,766A
1CFF1836,1CFF,1836
183672FC,1836,72FC
33E1DBFC,33E1,DBFC
0B623AB1,0B62,3AB1
1532769D,1532,769D
F88B769D,F88B,769D
9B4C769D,9B4C,769D
188B86ED,188B,86ED
86EDC85B,86ED,C85B
86ED1674,86ED,1674
86EDB2C9,86ED,B2C9
86ED71BA,86ED,71BA
86EDAA95,86ED,AA95
86EDB149,86ED,B149
3F409146,3F40,9146
3F40B5AE,3F40,B5AE
188BB4DA,188B,B4DA
B4DAA31C,B4DA,A31C
B4DA3987,B4DA,3987
B4DAE63D,B4DA,E63D
B4DAA791,B4DA,A791
B4DAF003,B4DA,F003
B4DA38B9,B4DA,38B9
B4DA07AE,B4DA,07AE
B4DA38D1,B4DA,38D1
B4DA05ED,B4DA,05ED
B4DA87A1,B4DA,87A1
DD31BBB3,DD31,BBB3
DD31BD5F,DD31,BD5F
DD317915,DD31,7915
DD31B323,DD31,B323
DD312A05,DD31,2A05
71C2825E,71C2,825E
DD312EB9,DD31,2EB9
DD316172,DD31,6172
D3EB825E,D3EB,825E
DD318B1F,DD31,8B1F
825E4A52,825E,4A52
DD319147,DD31,9147
DD31CCA5,DD31,CCA5
1B490126,1B49,0126
C7340126,C734,0126
7427BBB3,7427,BBB3
DA600126,DA60,0126
BBB3F949,BBB3,F949
D4010126,D401,0126
F93E0126,F93E,0126
13F4BD5F,13F4,BD5F
34CC0126,34CC,0126
AEB2BD5F,AEB2,BD5F
51980126,5198,0126
75C7BD5F,75C7,BD5F
21B9BD5F,21B9,BD5F
0126CF8B,0126,CF8B
BD5FDA47,BD5F,DA47
01261B49,0126,1B49
BD5FDD38,BD5F,DD38
0126C734,0126,C734
BD5F0410,BD5F,0410
BD5F2AE6,BD5F,2AE6
BD5FC1DD,BD5F,C1DD
BD5F2A72,BD5F,2A72
BD5FB7A3,BD5F,B7A3
86557915,8655,7915
7915059C,7915,059C
9FF6B323,9FF6,B323
B323BE86,B323,BE86
B3231EF3,B323,1EF3
B3231DC0,B323,1DC0
B323943F,B323,943F
B323B6BE,B323,B6BE
B3237624,B323,7624
B323326B,B323,326B
FAF92A05,FAF9,2A05
95CE2A05,95CE,2A05
2A0546B0,2A05,46B0
2EB95490,2EB9,5490
2EB9DAE0,2EB9,DAE0
71C26172,71C2,6172
61726573,6172,6573
61729495,6172,9495
8F738B1F,8F73,8B1F
8B1FBFDA,8B1F,BFDA
33969147,3396,9147
FD879147,FD87,9147
91474E36,9147,4E36
EF92CCA5,EF92,CCA5
FF14CCA5,FF14,CCA5
CCA5ECC1,CCA5,ECC1
CCA5224E,CCA5,224E
CCA5A4DA,CCA5,A4DA
CCA5A401,CCA5,A401
CCA5E9AC,CCA5,E9AC
F0136FBA,F013,6FBA
AA106FBA,AA10,6FBA
88646FBA,8864,6FBA
80336FBA,8033,6FBA
85C26FBA,85C2,6FBA
E34F36C4,E34F,36C4
972A36C4,972A,36C4
99E036C4,99E0,36C4
172F36C4,172F,36C4
4E9A36C4,4E9A,36C4
52EF36C4,52EF,36C4
D55436C4,D554,36C4
3E7E36C4,3E7E,36C4
919FC6D9,919F,C6D9
C382C6D9,C382,C6D9
C6D92E99,C6D9,2E99
C6D97498,C6D9,7498
C6D93CED,C6D9,3CED
C6D952A7,C6D9,52A7
C6D9A0DA,C6D9,A0DA
C6D908C4,C6D9,08C4
C6D9B190,C6D9,B190
C6D90DC9,C6D9,0DC9
C6D92E16,C6D9,2E16
C6D9FB46,C6D9,FB46
36A82E99,36A8,2E99
54982E99,5498,2E99
2E99D6FB,2E99,D6FB
74987904,7498,7904
7498EEE1,7498,EEE1
85A93CED,85A9,3CED
3CED26B5,3CED,26B5
F43552A7,F435,52A7
CD5352A7,CD53,52A7
52A7A3AE,52A7,A3AE
4778A0DA,4778,A0DA
254408C4,2544,08C4
7A52B190,7A52,B190
4253B190,4253,B190
B19095BD,B190,95BD
B1909438,B190,9438
99EF0DC9,99EF,0DC9
30000DC9,3000,0DC9
0DC9FF74,0DC9,FF74
0DC9FE88,0DC9,FE88
0EE72E16,0EE7,2E16
C1182E16,C118,2E16
2E167DC8,2E16,7DC8
188FFB46,188F,FB46
E4E3FB46,E4E3,FB46
45BAFB46,45BA,FB46
FB460F02,FB46,0F02
FFA5E06B,FFA5,E06B
88D9E06B,88D9,E06B
CC79E06B,CC79,E06B
9C01E06B,9C01,E06B
FDA3E06B,FDA3,E06B
E06B5925,E06B,5925
E06B25F4,E06B,25F4
E06BF9F0,E06B,F9F0
E06BD105,E06B,D105
E06B00A2,E06B,00A2
E06B759C,E06B,759C
E06B6621,E06B,6621
E06B0266,E06B,0266
E06BA85A,E06B,A85A
E06B9499,E06B,9499
C8435925,C843,5925
B42E5925,B42E,5925
59259891,5925,9891
1AD825F4,1AD8,25F4
0B7225F4,0B72,25F4
25F4D913,25F4,D913
A49BF9F0,A49B,F9F0
0B3BF9F0,0B3B,F9F0
8584F9F0,8584,F9F0
82DED105,82DE,D105
8CCCD105,8CCC,D105
D1053883,D105,3883
002F00A2,002F,00A2
7E4900A2,7E49,00A2
00A2E699,00A2,E699
220A759C,220A,759C
BBED759C,BBED,759C
E8886621,E888,6621
302F6621,302F,6621
66214313,6621,4313
A6F60266,A6F6,0266
30310266,3031,0266
026627C9,0266,27C9
02F0A85A,02F0,A85A
10DDA85A,10DD,A85A
C5B69499,C5B6,9499
9499C890,9499,C890
6EA36063,6EA3,6063
A7416063,A741,6063
938F6063,938F,6063
6063A2D3,6063,A2D3
1C051E34,1C05,1E34
1E34065D,1E34,065D
E9C0065D,E9C0,065D
1403065D,1403,065D
A907065D,A907,065D
D228065D,D228,065D
065DC9CF,065D,C9CF
065D348E,065D,348E
065DC49F,065D,C49F
065D2A26,065D,2A26
